,,,MAPE Performance Comparison,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CPU-TA < baseline,CPU-TA <> baseline,baseline < CPU-TA,,,,,,,,,,,,,,,,,,,,,,,,,
Prediction Group,Scenarios,Win (p<0.05),Tie (p>0.05),Loss (p<0.05),Error Range,,,,,,,,,,,,,,,,,,,,,,,,
CPU,74,20,40,14,1% to 4%,,,,,,,,,,,,,,,,,,,,,,,,
Memory,96,37,44,15,1.5% to 5%,,,,,,,,,,,,,,,,,,,,,,,,
AWS to IBM,24,8,9,7,3% to 8%,,,,,,,,,,,,,,,,,,,,,,,,
IBM,254,84,91,79,7% to 17%,,,,,,,,,,,,,,,,,,,,,,,,
Sysbench,33,0,0,33,20% to 30%,,,,,,,,,,,,,,,,,,,,,,,,
Firecracker,90,32,37,21,2% to 6%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classic AWS CPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,process,workload,MAPE,SAPE,sDF,tDF,sSTDEV,tSTDEV,sAverage,tAverage,sCV,tCV,sUser,sIdle,sKern,tUser,tIdle,tKern,sLTAMape,tLTAMape,wassersteinDistance,minMape,minWasserstein,meanOffset,stdOffset,tStat,pValue,tStatTarget,pValueTarget
X512MB_v3_6->X512MB_v4_6,Regression,SCNMT2,4.963,327.558,66,528,1727.562,1666.567,8179.045,7873.013,0.211,0.212,0.955,0.043,0.001,0.954,0.045,0.001,0.174,0.178,420.393,1.161,94.541,406.618,188.126,-0.398,0.556,-0.323,0.464
X512MB_v3_6->X512MB_v4_6,ForestRuntime,SCNMT2,5.637,372.042,66,528,1727.562,1666.567,8179.045,7873.013,0.211,0.212,0.955,0.043,0.001,0.954,0.045,0.001,0.174,0.178,465.405,3.046,244.63,404.342,150.298,-0.398,0.557,-0.318,0.463
X2GB_v3->X2GB_v4,Regression,SCMT2,1.96,344.96,176,626,1285.88,1562.957,6264.006,7252.155,0.205,0.216,0.525,0.474,0.001,0.524,0.476,0,0.538,0.533,145.6,0.737,54.735,117.612,71.143,-0.257,0.745,-0.387,0.607
X256MB_v3_13->X256MB_v4_13,RegressionRuntime,SCMT2,4.772,682.396,143,169,10583.307,12265.123,49079.021,52176.704,0.216,0.235,0.982,0.017,0.001,0.982,0.017,0.001,0.293,0.288,2316.643,1.845,918.339,1993.268,1354.061,-0.656,0.567,-0.465,0.51
X256MB_v3_13->X256MB_v4_13,Regression,SCMT2,3.367,175.084,52,78,3575.907,3554.637,37353.923,40555.962,0.096,0.088,0.982,0.016,0.002,0.982,0.016,0.002,0.103,0.104,1361.949,2.621,1102.233,1091.45,702.789,-0.088,0.518,-0.041,0.4
X1GB_v2_3->X1GB_v4_3,RegressionRuntime,SCMT2,3.381,1531.593,453,603,5131.426,2811.068,19650.735,12946.665,0.261,0.217,0.899,0.1,0.001,0.943,0.056,0.001,0.25,0.165,428.076,1.972,238.191,336.002,180.352,-0.207,0.474,-0.828,0.229
X2GB_v2->X2GB_v3,RegressionRuntime,SCNMT2,4.696,1390.016,296,174,490.185,518.881,2347.017,2484.793,0.209,0.209,0.573,0.426,0.001,0.524,0.475,0.001,0.288,0.375,110.288,3.103,72.739,103.499,31.861,-0.672,0.354,-0.548,0.318
X1GB_v2_3->X1GB_v4_3,Forest,SCNMT2,2.268,1020.6,450,603,1070.744,839.464,4881.144,3983.71,0.219,0.211,0.893,0.106,0.001,0.945,0.054,0.001,0.198,0.202,92.298,1.224,50.707,56.113,74.282,-0.02,0.641,-0.029,0.659
X256MB_v3_13->X256MB_v4_13,ForestRuntime,SCMT2,4.887,698.841,143,169,10583.307,12265.123,49079.021,52176.704,0.216,0.235,0.982,0.017,0.001,0.982,0.017,0.001,0.293,0.288,2361.504,1.882,922.078,2197.971,1117.393,-0.719,0.528,-0.534,0.473
X512MB_v3_6->X512MB_v4_6,ForestRuntime,SCMT2,4.618,304.788,66,528,5054.061,5368.692,23374.773,25738.625,0.216,0.209,0.956,0.043,0.001,0.953,0.046,0.001,0.175,0.133,1217.2,1.734,439.571,1064.207,475.656,-0.312,0.629,-0.506,0.51
